OPENADMET_LOGAC50_cyp2j2,OPENADMET_LOGAC50_cyp3a4,OPENADMET_LOGAC50_cyp1a2,OPENADMET_LOGAC50_pxr,OPENADMET_LOGAC50_cyp2d6,OPENADMET_LOGAC50_cyp2c9,OPENADMET_LOGAC50_ahr
,5.1,5.6,,5.05,5.8,
,,,,,4.66,
,5.8,4.8,,,6.6,
,,6.0,,,,
,,4.7,,4.85,,
,6.0,,,,,
,4.8,5.4,,,,
,4.6,,,,,
,5.195,,,,,
,5.85,,,,4.75,
,4.6,,,,,
,,6.92,,,,
,5.4,5.0,,5.1,5.95,
,,6.7,,,,
,,5.1,,4.766666666666667,,
,4.7,4.85,,,,
,5.4,,,,5.5,
,6.4,,,4.92,,
,5.2,,,,,
,5.599999999999999,5.2,,,5.5,
,,,,5.26,,
,4.9,6.5,,,5.0,
,5.400000000000001,5.5,,,5.5,
,6.52,,,,,
,4.5,,,4.4,4.6,
,,,6.715,,,
,4.8,,,,,
,4.85,,,4.85,,
,,,,4.8,,
,5.5,5.1,,,,
,4.59,,,,4.67,
,4.92,4.9,,,5.0,
,5.2,5.6,,4.9,4.85,
,5.1,,,,,
,5.5,4.5,,4.4,4.9,
,,,,6.73,,
,5.8,,,,,
,4.6,4.4,,5.3,,
,,,,4.28,4.1,
,,4.9,,,,
,,,,5.7,,
,,,,,4.85,
,,4.85,,,5.4,
,,5.5,,,,
,5.7,,,,,
,,4.7,,,,
,,,,,5.65,
,,5.9,,6.5,5.5,
,4.5,4.9,,,4.9,
,4.95,4.8,,4.5,5.55,
,,,,,6.25,
,5.55,5.55,,,5.45,
,4.8,5.1,,,,
,,6.64,,,,
,,,,5.215,,
,6.7,,,,,
,4.8,4.9,,4.9,5.6,
,,,,,5.22,
,4.5,,,,,
,5.900000000000001,,,,,
,4.9,5.9,,,,
,,5.33,,,,
,,,,5.96,,
,,7.13,,,,
,4.8,,,,,
,,,,,5.33,
,,,,,,4.1
,,,,,,5.78
,,,,5.96,,
,4.8,4.7,,,4.0,
,,4.96,,,,
,,5.15,,4.85,5.0,
,4.8,,,,,
,5.900000000000001,,,,,
,4.8,5.7,,4.4,4.8,
,5.95,5.5,,6.0,5.4,
,,5.0,,,,
,,,,,5.92,
,,4.9,,,,
,7.0,,,,,
,6.44,,,5.39,6.4,
,5.6,,,,5.1,
,6.24,,,,,
,5.12,,,,,
,4.8,5.0,,,4.4,
,,6.1,,,,
,4.75,,,,5.0,
,4.7,,,,,
,6.85,,,,,
,,,,5.14,,
,4.9,4.6,,5.2,,
,,,7.48,,,
,4.9,4.6,,,4.4,
,5.0,,,4.8,,
,4.8,,,,,
,,,,5.73,,
,,4.85,,4.8,5.6,
,5.400000000000001,,,,,
,,,,5.285,,
,4.35,,,4.77,,
,4.7,,,,,
,4.9,,,,,
,4.5,,,,,
,,,,,5.51,
,4.9,7.1,,4.6,,
,6.1,,,,4.8,
,5.7,6.4,,,6.2,
,,,,,,6.96
,,6.15,,5.95,,
,,,,6.52,,
,5.16,,,4.91,,
,,4.6,,,,
,,,4.96,,,
,4.9,4.7,,4.9,4.9,
,,,,,,4.55
,4.8,5.45,,,,
,5.75,5.2,,,5.45,
,,5.3,,,,
,4.85,,,,,
,4.85,5.35,,,4.6,
,5.32,,,,,
,4.52,,,5.1,5.1,
,,,5.41,,,
,,4.8,,4.7,,
,,,,6.22,,
,5.1,4.95,,,,
,,5.0,,,5.8,
,7.66,,,,,
,,4.55,,,,
,,8.2,,5.25,4.55,
,4.4,,,,,
,4.4,,,,,
,5.7,,,4.77,,
,4.8,,,,,
,,4.85,,4.6,5.1,
,5.35,5.2,,,,
,,,,4.8,,
,5.2,5.0,,4.7,,
,,5.98,,,,
,5.36,,,,,
,5.5,,,4.4,4.7,
,,,,4.7,5.0,
,4.32,,,,,
,,,,,5.5,
,,,,,5.0,
,,,,7.18,,
,5.599999999999999,5.8,,5.5,,
,4.6,,,4.8,5.75,
,,,,,6.29,
,,5.3,,,,
,,,6.56,,,
,7.16,,,,,
,4.27,,,4.47,5.75,
,4.9,5.7,,4.7,,
,4.65,,,,,
,,,6.58,,,
,,,,,4.9,
,,,,,5.19,
,5.43,4.48,,,,
,4.89,,,5.1,,
,,5.45,,,,
,7.1,,,6.7,5.69,
,,,6.285,,,
,4.6,5.4,,,,
,5.7,5.7,,4.8,6.1,
,5.2,4.9,,,,
,4.5,,,,,
,4.7,,,,4.75,
,,,,,5.54,
,,,,6.0,,
,,,,,5.75,
,,,,4.8,,
,5.0,,,,,
,5.15,,,,6.4,
,,,,,5.6,
,,6.35,,,5.45,
,5.15,,,,,
,4.6,,,4.7,4.6,
,4.7,,,,4.7,
,5.2,,,,,
,4.77,,,,,
,5.3,,,4.8,,
,5.89,,,,,
,5.3,4.4,,6.5,,
,5.1,,,,,
,4.9,,,,,
,5.15,4.5,,5.45,5.45,
,5.85,5.5,,,5.7,
,,,,5.35,,
,,,,5.0,,
,4.75,5.0,,,6.85,
